,part_of_speech,meaning_english,meaning_filipino,sample_bolinao,sample_english,upos,word
anis,n,Anise.,Anis.,Mabanglo a tinambutambong na ta kinwan nananis.,"Her confection of cooking bananas, sweet potatoes, etc. cooked with coconut milk smells good because she putanisein it.",NOUN,
anistisya,n,"Medication to reduce pain, usually injected.",Anestesya.,"Bana' sa anistisya, kasan naingar kon sakit sin nipadutdot ako.","Because of the anesthesia, I didn't feel any pain when I had the extraction done.",NOUN,
anito,n,Superstitious belief or custom.,Pamahiin.,Makapaed nin arunsa a anito.,Superstitious customs are a hindrance to advancement.,NOUN,
anlulungan,n,Tadpole.,Uluulo.,Makasa yay ikoy rananlulunganno main anan ayi ra.,The tails oftadpolesdisappear when they have developed legs.,NOUN,
anlulutong,n,"Sandbox tree, it has thorns on the bark and bears sour fruit, if burned the vapor will hurt your nose.",,"No mangwa' nin antipara, say anlulutong a usar mo nin kayo.","If one makes goggles, the anlulutong wood is the wood to use.",NOUN,
annay,intrj,Ouch!,Aray.,"No napitpit ya, annay yayna pinggat marnge' sa rubari'.","If one is pinched, he says <<annay>>in order to be heard on the other side.",INTJ,
anor,n,The action of being carried away by the flow of a liquid.,Anod.,"Say anor nin basura, mamunta sa baytan.",The drifting of the garbage is going to the east.,NOUN,
anos,n,"Patient enduring to the finish of something especially in a hard situation including being generous, kind and tolerant of others.",Tiyaga.,"Si Abraham, pinasyan anos nan tinma'gan ket naga'muran nay nipangako' na nin Dios.",Abraham waited very patiently and then he obtained what God had promised.,NOUN,
anrarawan,n,A long necked and tail dragonfly.,Hintutubi.,,,NOUN,
anro,adj,To be long in distance or time.,Mahaba.,"Si lapis ko,anroya.",My pencil islong.,ADJ,
anruwen,vo,"To make an object, speech or time of use longer.",Habaan.,Anruwen may palda ko.,Lengthen my skirt.,VERB,
ansain,intrg pron,"Identifies a specific grouping of things close to the hearer when preceded by ""no"".",Kung ano.,Ansain say lako' mo?,What are those which you are selling?,PRON,
ansarain,intrg pron,What are those plural near speaker,Ano ang mga yan?,,,PRON,
ansaraytaw,intrg pron,What are those plural far.,Ano ang mga iyan.,,,PRON,
ansarayti,intrg pron,What are these plural.,Ano ang mga ito.,,,PRON,
ansasakal,n,The paper wasp.,Putakti.,Abaw a ansasakal sa gardin nan laking ko.,There are a lot of paper wasps in my grandfather's garden.,NOUN,
ansaytaw,intrg pron,What are those (far)?,Ano ang mga iyon?,Ansaytaw say mula modtaw sa damir sa baytan nin gagawa'?,What are those that you planted there on the eastern part of the field?,PRON,
ansayti,intrg pron,"A question asking ""What are these (close to me)?""",Ano ang mga ito?,Ansayti say sinaliw mo?,What are these that you bought?,PRON,
ansiin,intrg pron,What's that (close to hearer)?,Ano yan?,"Baying,ansiinsi laman nan balyag mo?","Grandmother,whatis in your basket?",PRON,
ansisi'rat,n,"A whitish itchy worm with a short and thin body which attaches to plants; and if it is touched, it embeds very irritating hairs.",Higad.,"Say ansisi'rat, patyen nin ipuor o iyanor sa baybay.",Itchy worms are to be killed by burning or setting adrift on the sea.,NOUN,
ansitaw,intrg pron,"A question asking ""What is that (in the distance)?""",Ano iyon?,Ansitaw si man'ibarita' mo naon?,What is that that you were talking about earlier?,PRON,
ansiti,intrg pron,What is this?,Ano ito?,Ansiti si nimula modti sa danin alabat?,What is this that you planted here close to the fence?,PRON,
anta,coordconn,"The fact is (contrary to expectation), a concessive.",Na nga.,"Antamalago' ya et, uban ana nga'min a sabot na.","Inspite of the factthat he is still young, his hair is completely gray.",CCONJ,
antabay,n,The support of being alongside in guidance and encouragement.,Patnubay.,Matkap ran tuloy nin a'nak a antabay ran mangatua.,Children very much need the support of parents.,NOUN,
antabayan,vl,To guide or direct or hold up in support.,Magpatnubay; gumabay.,Sapa ta si Dios ket antabayan naka sa pag'aadal mo.,May God guide you in your studies.,VERB,
antabayen,vo,To come alongside someone in support.,Patnubayan.,Si ina a mangantabay konran a'nak mintras a man'umalaki sara.,It is the mother who guides the children while they are growing up.,VERB,
antaran,advlizer,Something done simultaneously with something else.,Habang.,Gaw'en moynay gawa' moantaranna'lek yay anak.,Do your work nowwhilethe child is asleep.,PART,
anted,adj,Short in length.,Maikli.,Antedyay inisturya na.,The story she told wasshort.,ADJ,
anteden,vo,To shorten something.,Paikliin.,Anteden may sabot mo ta ambo' mon bagay a anro.,Shorten your hair because long hair does not suit you.,VERB,
anti,n,Aunt.,Tiya.,"Mayi kamo komi,anti?","Are you going with us,auntie?",NOUN,
anti'anting,n,An amulet that gives special powers such as for healing and performing magic and giving protection.,Anting-anting.,"No mangalap nin anti'anting, gulpi saray makalaban mo ba'yo ka makakalap.","If you get an amulet, there are many you will be able to oppose before you are gotten.",NOUN,
antibayutik,n,An antibiotic.,Antibyotiko.,,,NOUN,
antigo,adj,"Antique, being old but of good quality such as of a house, furniture and jewelry.",Antigo.,"Wow! Aninan anda' nan siti.Antigoya, ani?","Wow! How beautiful it is. It isantique, right?",ADJ,
antik,n,"Black carpenter ant, a large aggressive black ant with a painful bite found under the bark of trees.",Hantik.,"No mangayat yay antik, masakit dyan urandis.","If the carpenter ant bites, it is more painful than the red ant.",NOUN,
antimano,adv,"Before anything else, at once, right away, straightaway.",Agad; kaagad-agad; agad-agad; pagdaka; kapagdaka.,"Sinantimano, kai kata rabay bale', sin kasa kaynadti, iliwen lamang.","Atthe start I didn't like you, but when you were gone I miss you.",ADV,
antina,n,An antenna for electronics.,Antena.,Siantinanan tilibisyon mi ket ayupa' ya.,Theantennafor our television is low.,NOUN,
antipara,n,Sunglasses to protect from the glare of a bright light.,Rayban.,"No mangusar kan antipara, ma'kit mosaran maong a kuna'.","If you use goggles, you are able to see fish well.",NOUN,
antiparawen,vo,To put on glasses.,Salaminin.,,,VERB,
antisipo,n,Money paid as a pledge of full payment.,Antisipo; paunang bayad; patinga; deposito.,No kai ma bayadan nin mi'sa-mi'sa a tilibisyon nin saliwen mo matkap a mami kan antisipo.,If you are not making a one time full payment for the television set you are buying you should give a down payment.,NOUN,
antisipwan,vl,Give advance partial payment.,Antisipuhan.,Mangantisipoka pigaw kai koyayna ilako' sa raruma.,Give advancepartialpaymentso that I will not sell it to others.,VERB,
antyuhos,n,"Eyeglasses, corrective lenses.",Anteohos.,Kumabaw yaynay masiken ta tikapen nayay antyuhos na bale' iti ya sa mata na.,The old man is becomingsenilefor he searches for his eyeglass but they are on his eyes.,NOUN,
anug'og,inf,"Yowled, a deep, loud, mournful weeping from pain or grief.",Hagulgol.,Anug'og nan lalaki sin natandaan nan nati yaynay asawa na.,The man groaned when he found out that his wife had died.,VERB,
anunas,n,"Custard apple, tree and fruit.",Anonas.,Si anunas a itaw komi ket kasan bikoy na.,"The custard apples at our place, they have no seed.",NOUN,
anunor,inf,"A physical movement in the direction of one's back, away from the intended or expected direction.",Atras.,"Saray dako,anunorsaran lumalako.",The brown crab walksbackwards.,VERB,
anunsyo,n,"Announcement, advertisement or news that is usually heard and may be through radio or some other device.",Anunsiyo; paunawa; abiso.,Main ninanunsyoa rumate' yay maksaw nin bagyo.,There is anannouncementthat a strong typhoon is coming.,NOUN,
anuon,n,A bamboo post or pole used for building cages and fish pens.,Panigas.,Ineknek yan maong a anuon nan pasabing pigaw ma'get ya.,Press the support post for the fish pen in well so that it will be firm.,NOUN,
anuren,vo,To move something with the flow of liquid.,Tangayin ng agos.,"Sin wanin, namugso yan ranom nin umagos nin bilang ilog a ulay ta pigaw nin anuren naya a babayi.","When it was like that, the snake spewed water which flowed like a river in order to sweep the woman away in the flow.",VERB,
anusan,vl,To be patient or forbearing with something or someone.,Pagtiyagaan.,Anusan nako kadi' ta ipamuspusan kon maisubli'.,Please bear with me since I will strive to return it.,VERB,
anyos,n,A age of maturity or length of time of existence.,Edad.,"No marate' moy pitumpulo' tan lima anyos, masiken kayna.","If you get to the age of 75, you are now an old man.",NOUN,
ap'ap,n,A liner for something to prevent a problem.,Sapin.,Kwan yan ap'ap nin aday a pugar pigaw kai nin tulin-tulin.,A liner of rice straw is put in a nest so that things don't roll around.,NOUN,
apak,adj,To be pampered as of a child or pet that is fondly indulged in an older person that is fondly cared for.,Malambing.,Apak ya siChadkona ni laking na ta syay namaalaki kona.,Chad is fondly attached to his grandfather for he is the one who raised him.,ADJ,
apak-apaken,vo,"To coax, to persuade by gentleness (done by a mature person to an immature such as parent to child).",Sumamo; magsumamo; lambingin.,Apak-apakenma pigaw kai ya umakis.,Coaxhim so that he will not cry.,VERB,
aparador,n,A cabinet with divisions of shelves or drawers and perhaps a hanging area for clothes.,Aparador.,Unungen moy seket saaparadorta nayugo'.,Arrange the clothes in the clothes chest because they are disordered.,NOUN,
apartmint,n,Apartment.,Apartment.,Alaki yayapartmintra sa Manila.,They have a bigapartmentin Manila.,NOUN,
apat,vi,To resemble someone.,Manà.,"Si Ana ket mabistay ugali' na, apat na koni baying na.",Ana has good manners; she takes after her grandmother.,VERB,
apaten,vo,"To take after a parent or ancestor in appearance, temperament or character.",Manahin.,Apaten ran a'nak a ugali' ran matua.,The children are following the customs of their parents.,VERB,
apay,n,A mat for lying on.,Banig.,"Si'kamin pubri, mida' kami sa apay.",We poor people lie down on mats.,NOUN,
apayen,vo,To weave something into a mat.,Banigin.,Apayen lamang a bangkwang.,The screw pine is woven into mats as well.,VERB,
apeget,adj,"Constrictive, tight, limited.",Masikip; mahigpit.,Apeget a pagod nan damulag kanya' nin kai nakapangan nin maong.,The picket of the carabao is too tight/short therefore he is not able to eat well.,ADJ,
apegeten,vo,To constrict something.,Sikipan.,Apegeten mo tamo' a rubir nan kanding no ipastor ma pinggat kai ya mikerker.,Just shorten the goat's rope when you put it out to graze so that it does not wind itself up in it.,VERB,
apes,n,A motivating urge or desire or motive.,Hangad.,"Say apes na, makakalap ya nin kwarta no iliksyon.",His motivation is to be able to get money when the elections take place.,NOUN,
apesen,vo,To desire or crave something.,Hangarin.,"Say kasabyan nin tawo, apesen ray yumaman.",The majority of people desire to become rich.,VERB,
apid,n,Appellation for a cousin.,Tawag sa pinsan.,"Wanin ana,apid,ta apurado ko.","So longsecond cousin, I'm in a hurry.",NOUN,
apidabit,n,"Affidavit, a paper containing a statement that is swore as truthful and signed before an official.",Apidabit.,"Say apidabit, maibi nin usto nin rason mo.",An affidavit gives you the right reason to proceed.,NOUN,
apikta,n,The affect of something on something.,Apekto.,Matkap nin pal'isan a apikta nin makapoy a pigagawa'.,The influence of bad conduct must be avoided.,NOUN,
apiktado,adj,To be affected by something.,Apektado.,Apiktado saran duka' nin tyimpo a maninilay.,Fishermen are affected by bad weather.,ADJ,
apiktawan,vl,"To have an affect on something, normally negatively.",Apektuhan.,"Sigurado akon tanda' moyo a say kasalanan nan saya komoyo ket apiktawan nay intiro moyo, kapada a say daite' tamo' nin pammakbo ket pakbwen nay intiron masa.","I am certain that you know that the sin of one of you affects your entire assembly, in the same way that only a little amount of leaven makes the entire dough rise.",VERB,
apikto,n,Affect.,Apekto.,"Si anito nan siti si dalan no mamaytan ya, alaki nin apikto na konan saya tawo.","If you are going east, the spirit on this road has a large effect on a person.",NOUN,
apila,n,A request to have a case heard again before a higher court or judge.,Apelasyon; paghahabol.,Niparate' ran biktima nin layos a apilo ra sa gubyirno a tulungan rasara.,The flood victims made a plea to the government for help.,NOUN,
apilyido,n,The family name or last name of a person.,Apelyido.,Say apilyido ran taga Bolinao ket tumarana' sa litranC.,The family names of those from Bolinao begin with the letter C.,NOUN,
apin,n,The upper surface at the bottom of a container.,Ilalim.,"Si apin nan lamisawan, namansawan yan kitsap.",The tablecloth has been stained with catsup.,NOUN,
apin-ayi,n,Footwear.,Sapin sa paa.,Kasan apin-ayi na kanya' napno' nin sugat a ayi nan pirmin dumalan sa babato.,He has no footwear and so his feet are full of wounds from always traveling on stone paths.,NOUN,
apinan,vl,"To lay something down for a liner such as a mat on the floor, a sheet on a bed, a leaf in the bottom of an earthen pot.",Sapnan.,Apinan yay kutson ta pigaw nin kai ya masamaan.,Acoveris put on the mattress so that it will not get dirty.,VERB,
apindiks,n,The appendix in the body.,Apendiks.,,,NOUN,
apindisitis,n,"Appendicitis, inflammation of the human appendix.",Apendisitis.,"No main apindisitis mo, apiktawan nay intiron lalaman mo.","If you have appendicitis, it affects your whole body.",NOUN,
apis,n,"Something, as cloth, plastic, paper, used to cover an object like bed, table, chair, etc.",Sapin.,Sin tyimpo ra ni nanay ko ket ginansilyo a usaren ni apis nin lamisawan tan tekrean.,During the time of my mother crocheted things/materials were used as covers for tables and chairs.,NOUN,
apisyon,n,A fondness or liking to be involved in something.,Hilig.,Main nin apisyon na ni Joy sa musika.,Joy has fondness for music.,NOUN,
apisyunado,adj,Fond of or zealous.,Apisyunado; ' mahilig.,Apisyunadoyan mako kipista.,She loves attending fiestas.,ADJ,
apit,n,The harvest from a field.,Ani.,Daite' a apit ko sawanin nin taon.,My harvest this year was small.,NOUN,
apiten,vo,Collect the harvest from a field.,Anihin.,Mangapit yan limay kaban nin irik si Juan sa gagawa' na.,Juan harvested five bags of field rice from his field.,VERB,
