Tuwali Words,Root Word,,Affixes,,English Translation,Tagalog Translation,Meaning,Part of Speech
bonggawak,bonggawak,-,-,-,be long-necked,maging mahabang leeg,long-necked; said of a person or animal,Verb
bongtit,bongtit,-,-,-,stink,mabaho,to emit a bad odor,Verb
bongwa,bongwa,-,-,-,slice,inilagay,"to cut in half long, hard objects crosswise",Verb
bongwan,bongwa,-,-,-n,slice of,hiwa ng,a portion or piece cut from something,Noun
bonog,bonog,-,-,-,shoulder,balikat,the joint connecting the arm to the torso; also can refer to the upper part of the back near the arm,Noun
bontog,bontog,-,-,-,parade,parada,to follow one after another in parade-like fashion,Verb
bonwe,bonwe,-,-,-,sing responsively,umawit nang tumutugon,to sing in a dialogue style,Verb
bonyag,bonyag,-,-,-,baptize,magbinyag,to baptize someone,Verb
borda,borda,-,-,-,embroider,magburda,to embroider a design on fabric,Verb
bot'ok,bot'ok,-,-,-,bundle,bundle,to bundle things that can be held in the hand,Verb
bot’ok,bot’ok,-,-,-,bundle of small things,bungkos ng maliliit na bagay,"small, hand-held bundle of items, typically agricultural products like rice stalks or vegetables",Noun
botak,botak,-,-,-,ambush,tambangan,to lie-in-wait; to attack unexpectedly from a hidden position,Verb
botbot,botbot,-,-,-,self-decapitate,pugutan ang sarili,to commit suicide by cutting off one's head; decapitate one's self,Verb
bote,bote,-,-,-,bottle,bote,to place something in a bottle,Verb
botlal,botlal,-,-,-,dice meat,dice karne,to cut meat into small pieces,Verb
botnge,botnge,-,-,-,dike,dike,to make a dike to separate water in a rice field,Verb
boto,boto,-,-,-,vote,boto,"a formal indication of a choice between two or more candidates or courses of action, expressed typically through a ballot or a show of hands or by voice",Noun
botos,botos,-,-,-,vote,bumoto,the ballot cast,Verb
botyak,botyak,-,-,-,disembowel,paglabas ng bituka,to cut open the stomach and/or intestines of animals,Verb
Bowwot,Bowwot,-,-,-,top,trumpo,"a toy that spins on its axis when set in motion, usually with a string or by twisting",Noun
boy’a,boy’a,-,-,-,small canal,maliit na kanal,"narrow channel or conduit used to direct water, typically in a swidden, garden, or agricultural field",Noun
boy'od,boy'od,-,-,-,sag,lumulubog,"to sag from weight; to bend down from weight, as of a clothesline or a branch due to the weight of a load hanging on it",Verb
boye,boye,-,-,-,unripe,hindi hinog,not ripe; not ready,Adjectives
boykat,boykat,-,-,-,gallivant,galante,to gallivant around; to wander around purposely for socializing,Verb
bubu,bubu,-,-,-,pre-chew rice,pre-chew rice,to chew rice to prepare it for an infant to eat,Verb
bubunut,bubunut,-,-,-,draw lots,gumuhit ng marami,to draw lots,Verb
bubuwa,buwa,bu-,-,-,seeds,buto ng halaman,"the small, typically hard parts of a plant from which a new plant can grow",Noun
bud-uk,uk,-,-,-,blow,suntok,to blow on embers or fire,Verb
bud'al,bud'al,-,-,-,exit,labasan,to exit; come out; go out,Verb
bud’al,bud’al,-,-,-,exit; opening to go out,labasan; daanan palabas,"physical opening, doorway, or passage through which one can exit a place",Noun
bud’ing,bud’ing,-,-,-,ricebird,ibon ng palay,"small bird, usually in rice fields, that feeds on grains of rice; includes two recognized species",Noun
budabud,budabud,-,-,-,brief rush of wind,biglaang hangin,"sudden, short-lived rush of wind, typically associated with approaching storms or typhoons",Noun
budabud,budabud,-,-,-,gust,bugso ng hangin,for wind to be gusting,Verb
budak,budak,-,-,-,shatter,makabasag,to break into small pieces,Verb
budbud,budbud,-,-,-,crush,crush,"to grind to pieces; to crush, especially grains; rotten wood which is grasped",Verb
buddu,buddu,-,-,-,exit,labasan,to come out; to exit; to go out,Verb
budhan,budhan,-,-,-,expose,ilantad,to expose something that has been hidden,Verb
budibud,budibud,-,-,-,blow lightly,pumutok ng mahina,breezy; the wind is blowing lightly,Verb
budking,budking,-,-,-,be half-blind,maging kalahating bulag,to have poor sight due to injury to eyes or for one eye to be damaged,Verb
budu,budu,-,-,-,prickle,turok,"the stinging substances existing on trees, bushes, grasses",Verb
buduk,buduk,-,-,-,explode,sumabog,to explode or detonate a gun or small bomb; the sound component is prominent,Verb
budukan,buduk,-,-,-an,shot,binaril,to shoot at someone or something,Verb
bugan,bugan,-,-,-,beauty (female),maganda,"having beauty; possessing qualities that give great pleasure or satisfaction to see, hear, think about",Adjectives
bugat,bugat,-,-,-,cud,kud,the undigested contents of a ruminant's stomach,Verb
bugbug,bugbug,-,-,-,cob,cob,"corn cob, i",Verb
bughak,bughak,-,-,-,spit out burst out,tumalsik ang dura,to spit something out of mouth,Verb
bughi,bughi,-,-,-,split open,hating bukas,to split or cut open,Verb
bughul,bughul,-,-,-,open,bukas,to open the door or window,Verb
bughut,bughut,-,-,-,untie,kalasin,to loosen the knot of carrying blanket for baby or child; untie a shoe lace,Verb
bugit,bugit,-,-,-,goosebumps,goosebumps,"the skin responds to fear, causing the hair to stand up",Verb
bugtak,bugtak,-,-,-,berate,magalit,to scold harshly,Verb
buh'ug,buh'ug,-,-,-,be satiated,mabusog,"to be satisfied, of hunger; full of food; satiated",Verb
buhak,buhak,-,-,-,break,break,to break apart hard things such as rocks,Verb
buhbu,buhbu,-,-,-,blossom,namumulaklak,"to blossom, specifically rice or corn plants; to shoot tassle",Verb
buhibu,buhibu,-,-,-,coil,likid,"to roll up a rope, a string or a wire; wind up",Verb
buhihi,buhihi,-,-,-,antagonize,magkaaway,to alienate by opposing; to cause enmity,Verb
buhit,buhit,-,-,-,jinx,jinx,to cause bad luck,Verb
buhul,buhul,-,-,-,be at enmity,magkaaway,to have enemies; to have blood enemies,Verb
buk'a,buk'a,-,-,-,release,palayain,to set/let loose; to let go; release; to free; to untie,Verb
bukakkol,bukakkol,-,-,-,eyeball,mata,the round part of the eye within the socket,Noun
bukal,bukal,-,-,-,crumble,gumuho,to crumble; break into small bits,Verb
bukat,bukat,-,-,-,open,buksan,"allowing access, passage, or a view through an empty space; not closed or blocked up",Adjectives
bukbuk,bukbuk,-,-,-,pour out,ibuhos,to pour out solid substances from a container,Verb
bukli,bukli,-,-,-,shatter,makabasag,"to break into pieces, e",Verb
buktayon,buktayon,-,-,-,buktayyon,buktayyon,plant name,Noun
bukud,bukud,-,-,-,hog,baboy,take everything for oneself; do a task by oneself,Verb
bul-i,buli,-,-,-,fissure,bitak,"cracking of dry soil, due to heat of sun",Verb
bul-ik,bulik,-,-,-,separate,magkahiwalay,to segment; divide into segments not using a knife,Verb
bul'uk,bul'uk,-,-,-,rot,mabulok,"to be rotten, decomposed, decayed",Verb
bula,bula,-,-,-,spit out burst out,tumalsik ang dura,to discharge something from the mouth; spit out,Verb
bulad,bulad,-,-,-,pry open,buksan mo,to unclench hand; to force-open someone's clenched hand,Verb
bulag,bulag,-,-,-,go blind,magbulag-bulagan,to become blind,Verb
bulakbul,bulakbul,-,-,-,loiter,tambay,to loiter around; to galivant,Verb
bulan,bulan,-,-,-,moon,buwan,the natural satellite of the Earth,Noun
bulang,bulang,-,-,-,cockfight,sabong,cocks fighting,Verb
buldid,buldid,-,-,-,spit out forcefuly,tumalsik ng malakas,to spit out something from mouth with force,Verb
bulding,bulding,-,-,-,be one-eyed,maging isang mata,scarred pupil of the eye; one-eyed; blind in one eye,Verb
bulduk,bulduk,-,-,-,break through,lumusot,to break forcibly through an obstacle,Verb
bulduser,bulduser,-,-,-,bulldoze,buldose,to use a bulldozer,Verb
bulhi,bulhi,-,-,-,mass of muscle on back; hump,kalamnan sa likod,"thick, fleshy mass of muscle located on the back of a fat bull or a stocky person; often used for meat",Noun
bulidu,bulidu,-,-,-,be annoyed,maiinis ka,to be irritated; to be annoyed,Verb
bulintik,bulintik,-,-,-,marble,marmol,"small, round toy used for playing marble games",Noun
bulkano,bulkano,-,-,-,volcano,bulkang bundok; bulkan,"bulkan; hole in the crust of a hill or mountain through which gases, ashes, and rock are ejected",Noun
bulkitan,bulkitan,-,-,-,rice,native rice; lokal na palay,a native rice variety; usually planted annually; smells good when cooked,Noun
bullaki,bullaki,-,-,-,man,ginoo; lalaki,"a gentleman; a tall, fair, and handsome man",Noun
bulligan,bulligan,-,-,-,winged beans,binhi at pods ng sitaw; pagkain,both pods and seeds are edible,Noun
bullu,bullu,-,-,-,squirm forward,kumadyot pasulong,to crawl without using legs; to squirm on stomach in moving ahead,Verb
bullug,bullug,-,-,-,go in pairs,pumunta nang magkapares,to go by pairs or groups; e,Verb
bulok,bulok,-,-,-,rot,mabulok,"to be rotten, for produce to be rotten",Verb
bultu,bultu,-,-,-,butcher for shares,butcher para sa shares,"to butcher and sell meat; with every part of the animal in one share; a part of the leg, heart, liver, etc",Verb
bultung,bultung,-,-,-,wrestling,labanan,traditional method to settle disputes or test strength,Noun
bulu,bulu,-,-,-,craw on belly,gumapang sa tiyan,to crawl on stomach,Verb
bulubul,bulubul,-,-,-,wash away,hugasan ang layo,to wash away something,Verb
bulug,bulug,-,-,-,male carabao; bull carabao; stocky male person,baka lalaking kalabaw; matipunong lalaki,a male carabao or a stocky male person,Noun
buluk,buluk,-,-,-,rotten,bulok,decayed and no longer good for use,Adjectives
bulul,bulul,-,-,-,bulul,bulul,name of a rice God,Noun
bulun,bulun,-,-,-,worry,mag-alala,"to be worried; to be concerned, anxious or troubled",Verb
bulus,bulus,-,-,-,release,palayain,to set loose; to set free,Verb
bulwati,bulwati,-,-,-,wear,magsuot,to wear clothing,Verb
bulyaggo,bulyaggo,-,-,-,brownish,kayumanggi,having a brown skin tone,Adjectives
bulyaggo,bulyaggo,-,-,-,play top,maglaro sa tuktok,to play the spinning-top game,Verb
bulyu,bulyu,-,-,-,strip bamboo,hubad kawayan,to strip bamboo for tying; to make bamboo tying strips,Verb
bulyun,bulyun,-,-,-,ripple,ripple,ripples of water; small waves caused by the wind,Verb
bumaddang,baddang,-,-um-,-,to help,tumulong,to help,Verb
bumahhel,bahel,-,-um-,-,going to the other side,tumawid,going to the other side,Verb
bumain,bain,-,-um-,-,bashfully,mahiyain,in a shy or timid manner,Adverb
bumanalin,balin,-,-uman-,-,turn over,bumaliktad,Refers to changing orientation or reversing the position of something.,Verb
bumangun,bumangun,-,-,-,get up,bumangon ka,to get up; to wake up,Verb
bumaya,buya,-,-ma-,-,host prestige feast,host prestihiyo kapistahan,to perform a prestige feast; making wine is part of the preparation,Verb
bumduk,buduk,-,-m-,-,explode,sasabog,to explode,Verb
bumisita,bumisita,-,-,-,to visit,upang bisitahin,to visit someone in particular,Verb
bumkon,bumkon,-,-,-,feel slighted,pakiramdam na minamaliit,hurt feelings;to be slighted,Verb
bumo’la,bola,-,-um-,-,play ball,maglaro ng bola,to play ball,Verb
bumtik,butik,-,-m-,-,run,takbo,to move at speed faster than walking,Verb
bumunga,bunga,-,-um-,-,fruit,prutas,to bear fruit,Verb
bumungaana,bunga,-,-um-,-na,fruiting part,pagtutubuan,the part of the plant where fruits or produce grow,Noun
bun-o,buno,-,-,-,spoil,sirain,"to be spoiled, refers to tubers; the root crop separates from the plant",Verb
bun'ung,bun'ung,-,-,-,give bubun gift,bigyan ng regalo ang bubun,to give a wedding present during the bubun ceremony,Verb
buna,buna,-,-,-,get lost,mawala,to get lost; to lose one's way,Verb
bunag,bunag,-,-,-,transport,transportasyon,to transfer or transport something; usually done little by little; to transport specified things,Verb
bunga,bunga,-,-,-,fruit,prutas / bunga,"fruit, any kind of produce",Noun
bungbung,bungbung,-,-,-,explode,sumabog,to blast something with the use of dynamite or any explosive,Verb
bungot,bungot,-,-,-,anger,galit,"a strong feeling of annoyance, displeasure, or hostility",Noun
bungotan,bungot,-,-,-an,scold angrily,galit na galit,to scold someone,Verb
bungug,bungug,-,-,-,rumble,dagundong,"rumbling noise made by water, strong winds, airplane, landslide, river; strong rain heard from a distance; sound of motor or engine of running vehicles",Verb
bungul,bungul,-,-,-,dandraff,balakubak,to have fungus on head; tinea eczema,Verb
buni,buni,-,-,-,brown,kayumanggi,for coconut meat to become brown and crusty,Verb
buntul,buntul,-,-,-,work for needs,magtrabaho para sa mga pangangailangan,"to work for needs, e",Verb
bunut,bunut,-,-,-,husk,balat,"to husk something, especially coconut; to remove coconut husk",Verb
bunwit,bunwit,-,-,-,hook fish,kawit na isda,to hook fish; go fishing,Verb
buras,buras,-,-,-,harvest,ani,"to gather fruit by cutting, e",Verb
buris,buris,-,-,-,have diarrhea,nagtatae,to have diarrhea,Verb
busit,busit,-,-,-,have bad luck,malas,to have bad luck,Verb
buta,buta,-,-,-,have speck in eye,may batik sa mata,speck in eye; foreign material in the eye,Verb
butas,butas,-,-,-,wear boots,magsuot ng bota,to wear boots,Verb
butbut,butbut,-,-,-,be full of holes,maging puno ng mga butas,"to have small holes in soft things like cloth, dress, plastic, bag, mat",Verb
buti,buti,-,-,-,pop,pop,popping sound of corn or rice during roasting or frying,Verb
butig,butig,-,-,-,have warts,may kulugo,to have warts,Verb
butik,butik,-,-,-,run,tumakbo,to move at speed faster than walking,Verb
butikon,butikon,-,-,-,will run,tatakbuhin,to cause or command someone/something to run,Verb
butin,butin,-,-,-,be sterile,maging sterile,"to be sterile; infertile, usually refers only to a woman",Verb
butod,butod,-,-,-,strip vine,alisan ng baging,to get vine and make strips for bundling rice grains,Verb
butong,butong,-,-,-,drunk,lasing,to be drunk; to be intoxicated,Verb
butongna,butongna,-,-,-,his/her drunkenness,kalasingan niya,the state of being drunk or intoxicated that belongs to someone,Noun
buttiki,buttiki,-,-,-,have big calves,may malalaking guya,to have a pronounced calf,Verb
butunit,butunit,-,-,-,button,pindutan,to button up; to place a button,Verb
butyug,butyug,-,-,-,be pregnant,maging buntis,to be pregnant,Verb
butyugna,butyugna,-,-,-,impregnated,binuntis niya,indicates that someone caused another person to become pregnant,Verb
buuk,buuk,-,-,-,hair,buhok,hair on the body of humans,Noun
buut,buut,-,-,-,cobweb,pukot,white cotton-like nests of small insects like spiders,Noun
buw’a,buw’a,-,-,-,seed,buto,the generic word for seed,Noun
buwa,buwa,-,-,-,seed,buto,the generic word for seed,Noun
buwag,buwag,-,-,-,uproot,bunutin,to uproot plants or trees,Verb
buwan,buwan,-,-,-,the seed of,buto ng,talks about the seeds of the subject which is usually a fruit,Noun
buwe,buwe,-,-,-,break,break,to break; to crack; substance is glass or clay,Verb
buwis,buwis,-,-,-,tax,buwis,to tax something in particular,Verb
buwod,buwod,-,-,-,clay jar,banga,"jar made of clay, usually for drinking water",Noun
buy'un,buy'un,-,-,-,sag,lumulubog,bent by wind or by the load on it; to sag; to droop; to hang loosely as a line or rope tied at both ends,Verb
buya,buya,-,-,-,watch,manood,to visually observe something,Verb
buyat,buyat,-,-,-,water,tubig,to water; to pour water on,Verb
buyong,buyo,-,-,-ng,sway in wind,umindayog sa hangin,for the wind to cause the motion or movement of something; swaying movement caused by the blowing of the wind,Verb
buyyako,buyyako,-,-,-,flower of cane,bulak ng tubo,"big, round, puffy flower head found on canegrass including sugar cane",Noun
da,da,-,-,-,they,sila,"third person, plural pronoun",Pronoun
da-guh,daguh,-,-,-,stop to visit,huminto sa pagbisita,to stop at a house to visit,Verb
