Iloko,English
Ni Nana Linda ket maysa a modesta. Nagdait isuna iti face mask para kadagiti frontliner.,Nana Linda is a tailor. She sewed face masks for frontliners.
Daytoy ti inaramid na bayat iti Aldaw iti Makalawas.,This is what she did during the week.
Ti 1 a face mask iti pictograph ket 5 ti bilangna.,One face mask symbol in the pictograph = 5 masks.
Ania ti paulo iti pictograph?,What is the title of the pictograph?
Ania nga aldaw a nakaaramid ni Nana Linda iti dua pulo a face mask?,On what day did Nana Linda make twenty face masks?
Mano amin a face mask ti naaramid ni Nana Linda iti Lunes ken Martes?,How many face masks did she make on Monday and Tuesday?
Ania nga aldaw ti kaaduan a nadait a face mask?,Which day had the most masks sewn?
Ania nga aldaw ti kabassitan a nadait a face mask?,Which day had the least masks sewn?
"No ti naaramid iti Biernes ket lima pulo, mano idi Sabado?","If she made fifty on Friday, how many on Saturday?"
Pagluganan Dagiti Grade-1 nga Mapan iti Pagadalan,Transportation of Grade 1 learners going to school
Mano amin ti agad-adal iti Grade-1 a paglugananda?,How many Grade 1 pupils use each type of transportation?
Ania ti paulo iti pictograph?,What is the title of the pictograph?
Naaramid daytoy a modiul tapno matulungan dagiti agad-adal.,This module is made to help the learners.
Napateg nga ammuen ti nilaon daytoy a modiul tapno maamuan no kasano ti panamagdilig kadagiti bambanag.,It is important to understand this module to know how to compare objects.
"Kalkalpas da Ana, Nina ken Rica a nagpapukis.","Ana, Nina, and Rica finished fixing their hair."
"No urnusem ida babaen iti kinaatiddog iti buokda, siasino iti umuna, maikadua, maikatlo?","If you arrange them based on the length of their hair, who is first, second, third?"
"No ni Nina ket ababa ti buokna, ni Ana ket ab-ababa ti buokna, ni Rica met ti kaababaan.","Nina has short hair, Ana has shorter hair, and Rica has the shortest hair."
Mabalin nga urnusen dagiti bambanag babaen ti kaababada.,Objects may be arranged by their shortness.
Kas makitayo ti maris nga asul ket atiddug.,The blue ribbon is long.
Ti maris a berde ket at-atiddug ngem diay maris nga asul.,The green ribbon is longer than the blue ribbon.
Ti maris a duyaw ti kaatiddugan.,The yellow ribbon is the longest.
Mabalin nga urnusen dagiti bambanag babaen ti kaatiddogda.,Objects may be arranged by length.
Ti notebook ket nalaglag-an ngem diay libro.,The notebook is lighter than the book.
Mabalin a maurnos dagiti bambanag babaen ti kinalag-anda.,Objects can be arranged by how light they are.
Ti lamisaan ket nadagdagsen ngem diay kabinet.,The table is heavier than the cabinet.
Ania kadagitoy a ladawan ti kalag-anan?,Which picture shows the lightest?
Ania kadagitoy nga prutas ti kadagsenan?,Which of these fruits is the heaviest?
Ania a laso ti kaatiddugan?,Which ribbon is the longest?
Urnosen dagiti bambanag manipud iti nalag-an agingga iti kalag-anan.,Arrange objects from light to lightest.
Naimbag ken naragsak nga aldaw ubbing!,"Good and joyful day, children!"
Naisagana ken naisurat daytoy a modyul tapno pasayaaten ti kabaelan ken tarabay dagiti agad-adal.,This module is prepared and written to improve learners’ skills and support learning.
Maawatan iti adalen ti Matematika iti Umuna a Tukad.,To understand the Grade 1 mathematics lesson.
Panangbigbig ken Pannangiparangarang Dagiti Numero manipud 0 aginggana 100.,Identifying and representing numbers from 0 to 100.
"Kalpasan daytoy a modyul, sika ket namnamaen a mabigbig dagiti bilang manipud 0 agingga 100.","After this module, you are expected to identify numbers from 0 to 100."
Maiparangarang dagiti bilang iti pangbilang wenno simbolo ken pabalikas.,Represent numbers using symbols and words.
Maragsakan iti panagaramid dagiti ubraen maipanggep iti Number Sense.,Enjoy doing tasks related to Number Sense.
Timbukelan ti numero a mayannatup ti bilang ti ladawan.,Encircle the number that matches the number of objects.
Bilangen dagiti bambanag iti tunggal ragup.,Count the objects in each group.
Isurat ti usto a numero iti kahon.,Write the correct number in the box.
Basaen ti parapo ken sungbatan dagiti saludsod.,Read the paragraph and answer the questions.
Ni Nanang ni Lorna ket napan idiay Bookstore.,Lorna’s mother went to the bookstore.
"Gimmatang isuna iti dua a bag, lima a lapis, limapulo a papel, maysa a pageris, walo a notbuk, ken innem a krayola.","She bought two bags, five pencils, fifty papers, one eraser, eight notebooks, and six crayons."
Asino ti napan idiay Bookstore?,Who went to the bookstore?
Apay a napan isuna idiay Bookstore?,Why did she go to the bookstore?
"No sika ket maysa dagiti annak, sumurot ka kadi? Apay?","If you were the child, would you go? Why?"
Kasatnom a mabigbig wenno maiparangarang ti bilang ti ginatang?,How would you identify or represent the number of items bought?
Panagaramat ti ladawan a kas panangbigbig ken panangiparangarang ti bilang.,Using pictures to identify and represent numbers.
Nasken a ti pinagbilang ti maysa inggana sangagasut ket ammo ti urnos dagiti numero.,"To count from 1 to 100, you must know the order of numbers."
Adalen ti ladawan. Bilangen ti bambanag idiay umuna a batog.,Study the picture. Count the objects in the first column.
Isurat ti bilang iti simbolo ken bilang iti balikas.,Write the number in symbol and word form.
Bukelan ti bilang iti usto a sungbat.,Circle the number that matches the word.
Isurat iti balikas dagiti sumaruno a bilang.,Write in words the following numbers.
Basaen ken tarusan dagiti sumaganad.,Read and understand the following.
Isurat ti letra iti umno a sungbat.,Write the letter of the correct answer.
Ania ti balikas a numero iti 88?,What is the number word for 88?
Mano ti bilang dagiti biskutso?,How many biscuits are there?
Ania a numero ti mangipakpakita ti bilang amin a manok?,What number shows the total number of chickens?
"Daytoy a modyul ket dinisenyo, tinarimaan ken pinagpanunutan tapno tarabayannaka ti panagadalmo iti identifying a number that is one more or one less from a given number.",This module is designed and prepared to help you learn how to identify a number that is one more or one less than a given number.
"Kalpasan daytoy a modyul, dagiti agad-adal ket namnamaaen nga mabigbig ti bilang nga nasursurok iti maysa wenno basbassit ti maysa ngem iti naited a bilang.","After this module, learners are expected to identify numbers that are one more or one less than the given number."
Maipakita ti panagayat iti panagaramid dagiti aramid a panangbigbig dagiti bilang.,Show interest in doing tasks identifying numbers.
Malagip mo pay kadi dagiti numero nga inadalmo ti umuna a modyul?,Do you still remember the numbers you learned in the first module?
Basaen dagiti sumaganad. Isurat ti letra ti umno a sungbat.,Read the following. Write the letter of the correct answer.
Ania ti balikas iti numero iti 7?,What is the number word for 7?
Ania ti simbolo iti sangapulo?,What is the symbol for ten?
Ania a bilang ti ad-adu iti maysa ngem iti numero nga adda ti uneg iti kahon?,Which number is one more than the number in the box?
Basbassit iti maysa ken Ad-adu iti maysa,One less and one more
Ti ad-adu iti maysa ket dakdakkel ti maysa.,One more means greater by one.
Adda numero wenno kantidad nga ad-adu iti maysa ti sabali a bilang.,A number may be one more than another.
Ti basbassit iti maysa ket kurang ti maysa.,One less means smaller by one.
Adda numero a basbassit iti maysa ti sabali a bilang.,A number may be one less than another.
Basaen ti parapo ken sungbatan dagiti saludsod.,Read the story and answer the questions.
Da Lina ken Karla ket nagsukdal ti bungbunga iti mangga idiay arubayanda.,Lina and Karla picked mangoes near their home.
"Inkabelda dagitoy idiay basket. Nakaala ti lima ni Lina, 7 met iti naala ni Karla.",They placed them in a basket. Lina got 5 and Karla got 7.
Nagpuros pay ti maysa ni Karla para kenni Lina.,Karla gave one more to Lina.
Mano amin a mangga ti napurosda?,How many total mangoes did they have?
Rumbeng kadi a tuladen ni Lina? Apay?,Should Lina imitate her? Why?
Adalen ti ladawan. Bilangen dagiti mangga.,Study the picture. Count the mangoes.
Haan Liplipatan: Ti ad-adu iti maysa ket dakkel ti maysa.,Don’t forget: one more means greater.
Ikkan ti puso no husto ti sarita ken tryanggulo no saan.,Put a heart if the statement is correct and a triangle if not.
Pagdasigen dagiti dua a ragup ti bituen.,Compare the two groups of stars.
Ti pito ket basbassit iti maysa ngem ti innem.,Seven is less than six.
Ti pito ket ad-adu iti maysa ngem ti innem.,Seven is more than six.
Ti innem ket basbassit iti maysa ngem ti pito.,Six is less than seven.
Inikkan ni Lolit ni Brandon ti innem a tsokolate.,Lolit gave Brandon six chocolates.
Nakaawat pay ti 7 a tsokolate nga inted ni Cardo.,He also received 7 chocolates from Cardo.
"No pagdasigen dagiti tsokolate nga intedda, ania ti husto?","When comparing the chocolates, which is correct?"
Naimbag ken naragsak nga aldaw ubbing!,"A good and joyful day, children!"
Indisenyo ken insurat daytoy a modyul a tarabay dagiti agad-adal tapno maawatan ti panagragup dagiti bambanag tapno mapadaras iti agbilang.,This module is designed and written to help learners understand grouping objects to make counting easier.
Daytoy a modyul ket nakapokus iti panagragup ti saggaysa a banag iti sagsangapulo ken sagsangapulo nga banag iti sagsangagasut.,This module focuses on grouping ones into tens and tens into hundreds.
"Makapagdasig ti dua nga ragup babaen dagiti ebkas “ad-adu ngem”, “basbassit ngem”, “kas kaadu”.","Compare two groups using “more than,” “less than,” “as many as.”"
Maiyurnos dagiti ragup manipud kabassitan agingga kaaduan.,Arrange groups from least to greatest.
Basaen ti parupo ken sungbatan dagiti saludsod.,Read the paragraph and answer the questions.
Napan ni Mary idiay palengke.,Mary went to the market.
"Gimmatang isuna iti 14 nga saba, 25 nga bayyabas, 26 nga santol ken 40 nga chico.","She bought 14 bananas, 25 guavas, 26 santol, and 40 chico."
Inkabel na amin daytoy idiay basket na ket siraragsak a nagawid isuna.,She put them all in her basket and happily went home.
Sinno ti napan idiay palengke?,Who went to the market?
Ania ti rikna na idi nagawid isuna?,How did she feel going home?
Mano nga piraso nga saba iti adda idiay basket na?,How many bananas were in her basket?
Mano a ragup a sagsangapulo ti mabukel iti 14 a saba?,How many tens can be formed from 14 bananas?
Mano a saggaysa ti nabati?,How many ones are left?
Mano nga bayyabas iti ginatang na?,How many guavas did she buy?
Panagaramat ti ladawan ken panangiparang ti ragup dagiti bambanag.,Using pictures to show grouping of objects.
"Tapno napigges iti panagbilang, iragup dagiti bambanag iti sagsangapulo.","To count faster, group objects into tens."
Nangikarga da ti 10 nga mangga iti tunggal labba.,They placed 10 mangoes in each basket.
"No nakapuros da iti 65 nga mangga, mano nga labba iti masapul da?","If they harvested 65 mangoes, how many baskets do they need?"
Agbilang ti sangagasut ket timbukelan daytoy.,"To count to one hundred, group like this."
"Makapagdasig ti dua nga ragup babaen ti “ad-adu ngem”, “basbassit ngem”, “kas kaadu”.","Compare two groups using more than, less than, as many as."
Kasano a pagdasigen dagiti ragup ti bambanag?,How do we compare groups of objects?
Iragup ti sagsangapulo ken saggaysa.,Group them into tens and ones.
"Iragup ti sagsangagasut, sagsangapulo, ken saggaysa dagiti prutas.","Group the fruits into hundreds, tens, and ones."
Ania dagiti ay-ayam nga inyuged ni Mark?,What toys did Mark gather?
Pagdasigen ti bilang ti tunggal ragup.,Compare the quantity of each group.
Ikkan tsek no ti numero ket naiyurnos manipud kabassitan agingga kaaduan.,Check if the numbers are arranged from least to greatest.
Naragsak ken naimbag nga aldaw yo ubbing!,"A happy and good day to you, children!"
